,path,expanded_node,fringe_size,depth
0,"['up', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']",183,119,18
1,"['down', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left']",4232,2209,26
2,"['up', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right']",181440,21253,30
3,"['left', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",462,291,20
4,"['left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right']",181440,19874,31
5,"['down', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'left']",181440,21323,32
6,"['left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'down']",181440,20833,30
7,"['down', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down']",181440,20714,30
8,"['right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']",220,129,21
9,"['up', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up']",181440,21986,31
10,"['down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'up', 'right', 'up', 'left']",181440,20304,31
11,"['up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",118,77,16
12,"['down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'right']",181440,20737,30
13,"['right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up']",2644,1430,25
14,"['left', 'down', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'right', 'up', 'left']",181440,19407,30
15,"['up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'left']",1825,1009,25
16,"['up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up']",1747,1018,23
17,"['right', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left']",181440,20731,29
18,"['right', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']",6133,3243,27
19,"['down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left']",548,331,18
20,"['down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down']",181440,21003,31
21,"['right', 'up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'up']",1377,785,24
22,"['right', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up']",454,274,20
23,"['left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left']",181440,20095,29
24,"['up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right']",181440,20721,29
25,"['right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right']",181440,20965,32
26,"['right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right']",181440,20718,29
27,"['left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']",2004,1133,24
28,"['right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up']",181440,20110,30
29,"['left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'up']",3574,1968,25
30,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left']",181440,21296,28
31,"['up', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'left']",1157,647,24
32,"['right', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left']",181440,19870,30
33,"['down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down']",181440,20176,29
34,"['right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down']",181440,20446,30
35,"['down', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'up']",444,273,19
36,"['up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up']",2284,1282,23
37,"['down', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left']",480,298,22
38,"['right', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'left']",181440,20458,29
39,"['left', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left']",181440,22059,29
40,"['down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'up']",566,316,23
41,"['down', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']",51,36,14
42,"['left', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']",1047,612,23
43,"['right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'right', 'down']",181440,21215,31
44,"['down', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up']",4155,2252,27
45,"['left', 'down', 'right', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'left']",181440,20555,29
46,"['right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up']",181440,21019,29
47,"['left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left']",181440,20007,31
48,"['right', 'down', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right']",181440,19919,31
49,"['up', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'up']",679,392,24
50,"['left', 'down', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down']",181440,20231,31
51,"['up', 'right', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'right']",181440,19302,30
52,"['left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'left']",181440,19822,31
53,"['up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'up', 'right']",181440,21345,32
54,"['left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'right']",181440,20683,31
55,"['down', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left', 'up']",499,298,20
56,"['down', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right']",181440,20784,29
57,"['down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'up']",181440,20551,31
58,"['left', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'left']",648,388,21
59,"['left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",1730,938,24
60,"['right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up']",1415,800,23
61,"['left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'up', 'right']",181440,20444,29
62,"['left', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'up']",611,364,20
63,"['right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'left', 'up']",263,167,18
64,"['down', 'right', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'down']",181440,19666,30
65,"['left', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']",3996,2135,27
66,"['down', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'left']",181440,20460,31
67,"['down', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'up', 'left']",567,329,21
68,"['up', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up', 'left', 'left']",2137,1166,24
69,"['left', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left']",2097,1158,24
70,"['down', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']",366,223,20
71,"['left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'left']",557,305,22
72,"['right', 'right', 'down', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left']",181440,19941,31
73,"['down', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'up']",181440,19739,30
74,"['left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'left', 'down']",181440,20711,30
75,"['down', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'left']",181440,21911,27
76,"['right', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'up']",181440,19997,31
77,"['right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'left']",181440,20889,30
78,"['left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left']",181440,19958,30
79,"['down', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up']",999,571,22
