,path,expanded_node,fringe_size,depth
0,"['up', 'left', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'left']",390,255,18
1,"['down', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'up', 'left']",10647,5599,26
2,"['up', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'down', 'right']",181440,23951,30
3,"['left', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",955,584,20
4,"['down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down']",181440,22735,29
5,"['up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left']",181440,23790,28
6,"['left', 'up', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'left']",181440,23833,30
7,"['down', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down']",181440,23243,30
8,"['right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up']",976,606,21
9,"['left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']",181440,24572,29
10,"['down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'up', 'left', 'left']",181440,23030,30
11,"['up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'down', 'left', 'up', 'right', 'up', 'left', 'left']",208,132,16
12,"['right', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right']",181440,23517,30
13,"['right', 'down', 'left', 'up', 'up', 'right', 'down', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'right', 'up', 'left']",7785,4318,25
14,"['left', 'down', 'right', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'left', 'down', 'right', 'right']",181440,21314,31
15,"['up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'up', 'right', 'down', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'left', 'up', 'up']",6333,3539,25
16,"['up', 'left', 'left', 'down', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up']",4044,2364,23
17,"['right', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'right', 'up', 'right', 'up']",181440,23398,30
18,"['right', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'down', 'left', 'up', 'left', 'up']",17048,8589,27
19,"['down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'left']",779,489,18
20,"['down', 'left', 'left', 'up', 'up', 'right', 'down', 'right', 'down', 'left', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'up']",181440,23638,29
21,"['up', 'right', 'down', 'right', 'up', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'left']",4281,2464,24
22,"['right', 'right', 'down', 'left', 'down', 'left', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up']",1008,617,20
