,path,expanded_node,fringe_size,depth
85,"['Down', 'Left', 'Up']",11,9,4
86,"['Left', 'Down', 'Right', 'Up', 'Left']",47,41,6
87,"['Up', 'Up', 'Left']",9,9,3
88,"['Left', 'Up', 'Up']",15,9,4
89,"['Right', 'Down', 'Right', 'Up', 'Up', 'Left', 'Left']",162,107,8
90,"['Left', 'Up', 'Right', 'Up', 'Left']",47,41,6
91,"['Down', 'Right', 'Up', 'Left', 'Left']",42,37,6
92,"['Up', 'Up', 'Left']",9,9,3
93,"['Right', 'Right', 'Down', 'Left', 'Up', 'Up', 'Left']",176,106,8
94,"['Left', 'Down', 'Left', 'Up', 'Up']",53,34,6
95,"['Down', 'Down', 'Right', 'Up', 'Left', 'Up', 'Left']",113,82,8
96,"['Right', 'Up', 'Left', 'Down', 'Left', 'Up', 'Up']",177,102,8
97,"['Left', 'Up', 'Up']",15,9,4
98,"['Down', 'Right', 'Down', 'Left', 'Up', 'Left', 'Up']",142,87,8
99,['Left'],2,4,2
